[2026-08-22 11:28:30,611] 15 root - INFO - Initiate the data ingestion
[2026-08-22 11:28:46,274] 87 root - INFO - Performed train test split on the dataframe
[2026-08-22 11:28:46,274] 89 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-08-22 11:28:46,274] 97 root - INFO - Exporting train and test file path
[2026-08-22 11:28:46,404] 105 root - INFO - Export train and test file path.
[2026-08-22 11:28:46,407] 17 root - INFO - Data initiation completed
[2026-08-22 11:28:46,481] 21 root - INFO - Initiate the data validation
[2026-08-22 11:28:46,658] 30 root - INFO - Required number of columns:430
[2026-08-22 11:28:46,658] 31 root - INFO - Data frame has columns:31
